0,xxxSNAMEyyy communication was sent in the month of May 2017 . -Manoj n/n,xxxSNAMEyyy communication was sent in the month of May 2017 . - Manoj,1,1
1,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,1,1
2,xxxSNAMEyyy How do I find out why my credit card is blocked from paying on Steam Games ? Working everywhere else . Plenty of credit left .,xxxSNAMEyyy How do I find out why my credit card is blocked from paying on Steam Games ? Working everywhere else . Plenty of credit left .,1,1
3,xxxSNAMEyyy Refund issues ..DM u the details..pls refer it and solve the issue soon .,xxxSNAMEyyy Refund issues . Direct Message you the details. please refer it and solve the issue soon .,1,1
4,xxxSNAMEyyy New s/w upgrade xxxSNAMEyyy is debiting accounts in netbankingamp ; BHIM app but not crediting beneficiary many complaints seen in Bank,xxxSNAMEyyy New software upgrade xxxSNAMEyyy is debiting accounts in net banking and BHIM app but not crediting beneficiary many complaints seen in Bank,0,1
5,How do i talk to a customer care executive urbphonebanking options keep going on loops . xxxHASHTAGyyy xxxSNAMEyyy,How do i talk to a customer care executive your phone banking options keep going on loops . xxxHASHTAGyyy xxxSNAMEyyy,0,1
6,"xxxSNAMEyyy Hi , sorry for the trouble . Once again we request you to share the details of your concerns with us at xxxURLyyy","xxxSNAMEyyy Hi , sorry for the trouble . Once again we request you to share the details of your concerns with us at xxxURLyyy",2,1
7,xxxSNAMEyyy What to do now ?,xxxSNAMEyyy What to do now ?,1,1
8,"xxxSNAMEyyy Hey ! Send me a DM with some more details , along with your PP email . xxxEMOyyy ^MB","xxxSNAMEyyy Hey ! Send me a Direct Message with some more details , along with your PP email . xxxEMOyyy",1,1
9,xxxSNAMEyyy Reference no for my Query was 444-405-315 .,xxxSNAMEyyy Reference no for my Query was ref .,1,1
10,xxxSNAMEyyy need to introspect SBI,xxxSNAMEyyy need to introspect SBI,1,1
